
========================================
       STUDENTS IN DATABASE             
========================================

Available tables: admin_notifications, admins, alumni_activity_logs, alumni_communication_logs, alumni_connections, alumni_donations, alumni_education, alumni_employment, alumni_event_registrations, alumni_events, alumni_job_applications, alumni_jobs, alumni_mentorship_requests, alumni_messages, alumni_post_comments, alumni_post_likes, alumni_posts, alumni_profiles, alumni_success_stories, assignments, attendance, attendance_notification_history, attendance_notification_logs, attendance_notification_requests, attendance_notification_templates, attendance_notifications, below_75_students, books, broadcast_notifications, buses, chat_conversations, chat_messages, college_settings, companies, complaints, courses, departments, drive_rounds, drivers, events, exam_registrations, exam_timetables, exams, faculty, faculty_attendance, faculty_notification_settings, faculty_notifications, fee_notifications, fee_structures, fees, hall_tickets, hostel_allocations, hostel_attendance, hostel_blocks, hostel_complaints, hostel_fee_payments, hostel_fee_receipts, hostel_fees, hostel_rooms, hostel_visitors, hostels, issued_books, leave_requests, library_notifications, library_settings, marks_correction_requests, mentorship_sessions, notification_logs, notification_preferences, otps, placement_companies, placement_drives, placement_interviews, placement_notifications, placement_training, placements, resident_fees, results, routes, selected_students, stops, student_applications, student_course_registrations, student_notifications, students, study_materials, subjects, timetable, transport_allocations, transport_fees, users, vehicle_maintenance

Total Students Found: 217


--- AIDS (24 students) ---
  001. Meka Vamsi                          | Roll: AIDS26001       | vamsi.meka@college.com                   | Sem 1 Sec B
  023. Meka Geetha                         | Roll: ECE26023        | geetha.meka@college.com                  | Sem 7 Sec B
  024. Pendyala Yamini                     | Roll: ECE26024        | yamini.pendyala@college.com              | Sem 7 Sec A

--- EEE (24 students) ---
  001. Bandla Rajesh                       | Roll: EEE26001        | rajesh.bandla601_1@college.com           | Sem 1 Sec B
  002. Boddu Rajesh                        | Roll: EEE26002        | rajesh.boddu@college.com                 | Sem 1 Sec A
  003. Nallamothu Sravan                   | Roll: EEE26003        | sravan.nallamothu@college.com            | Sem 1 Sec B
  004. Katta Akhil                         | Roll: EEE26004        | akhil.katta@college.com                  | Sem 1 Sec A
  005. Gummadi Charan                      | Roll: EEE26005        | charan.gummadi@college.com               | Sem 1 Sec B
  006. Nandamuri Harish                    | Roll: EEE26006        | harish.nandamuri@college.com             | Sem 1 Sec A
  007. Alapati Krishna                     | Roll: EEE26007        | krishna.alapati@college.com              | Sem 3 Sec B
  008. Ravipati Vivek                      | Roll: EEE26008        | vivek.ravipati@college.com               | Sem 3 Sec A
  009. Kondapalli Abhinay                  | Roll: EEE26009        | abhinay.kondapalli@college.com           | Sem 3 Sec B
  010. Pendyala Satish                     | Roll: EEE26010        | satish.pendyala@college.com              | Sem 3 Sec A
  011. Duggirala Ganesh                    | Roll: EEE26011        | ganesh.duggirala@college.com             | Sem 3 Sec B
  012. Gummadi Kalyan                      | Roll: EEE26012        | kalyan.gummadi612_1@college.com          | Sem 3 Sec A
  013. Yerra Swathi                        | Roll: EEE26013        | swathi.yerra@college.com                 | Sem 5 Sec B
  014. Kothapalli Ananya                   | Roll: EEE26014        | ananya.kothapalli@college.com            | Sem 5 Sec A
  015. Gudipati Harika                     | Roll: EEE26015        | harika.gudipati@college.com              | Sem 5 Sec B
  016. Boddu Keerthi                       | Roll: EEE26016        | keerthi.boddu@college.com                | Sem 5 Sec A
  017. Adusumilli Ramya                    | Roll: EEE26017        | ramya.adusumilli@college.com             | Sem 5 Sec B
  018. Yelamarthi Sahithi                  | Roll: EEE26018        | sahithi.yelamarthi@college.com           | Sem 5 Sec A
  019. Gummadi Sahithi                     | Roll: EEE26019        | sahithi.gummadi@college.com              | Sem 7 Sec B
  020. Kolli Bhavana                       | Roll: EEE26020        | bhavana.kolli@college.com                | Sem 7 Sec A
  021. Gudipati Amrutha                    | Roll: EEE26021        | amrutha.gudipati@college.com             | Sem 7 Sec B
  022. Koneru Jyothi                       | Roll: EEE26022        | jyothi.koneru@college.com                | Sem 7 Sec A
  023. Kondapalli Meghana                  | Roll: EEE26023        | meghana.kondapalli@college.com           | Sem 7 Sec B
  024. Gudipati Sahithi                    | Roll: EEE26024        | sahithi.gudipati@college.com             | Sem 7 Sec A

--- IT (24 students) ---
  001. Galla Hari                          | Roll: IT26001         | hari.galla@college.com                   | Sem 1 Sec B
  002. Ravipati Avinash                    | Roll: IT26002         | avinash.ravipati@college.com             | Sem 1 Sec A
  003. Pasupuleti Avinash                  | Roll: IT26003         | avinash.pasupuleti@college.com           | Sem 1 Sec B
  004. Yelamanchili Bhargav                | Roll: IT26004         | bhargav.yelamanchili@college.com         | Sem 1 Sec A
  005. Vallabhaneni Rajesh                 | Roll: IT26005         | rajesh.vallabhaneni@college.com          | Sem 1 Sec B
  006. Nandamuri Kiran                     | Roll: IT26006         | kiran.nandamuri@college.com              | Sem 1 Sec A
  007. Galla Srinivas                      | Roll: IT26007         | srinivas.galla@college.com               | Sem 3 Sec B
  008. Katta Suresh                        | Roll: IT26008         | suresh.katta@college.com                 | Sem 3 Sec A
  009. Ravipati Prathyush                  | Roll: IT26009         | prathyush.ravipati@college.com           | Sem 3 Sec B
  010. Gudipati Surya                      | Roll: IT26010         | surya.gudipati@college.com               | Sem 3 Sec A
  011. Vadlamudi Ganesh                    | Roll: IT26011         | ganesh.vadlamudi@college.com             | Sem 3 Sec B
  012. Maddineni Pawan                     | Roll: IT26012         | pawan.maddineni@college.com              | Sem 3 Sec A
  013. Pasupuleti Sai Pranathi             | Roll: IT26013         | saipranathi.pasupuleti@college.com       | Sem 5 Sec B
  014. Paritala Ananya                     | Roll: IT26014         | ananya.paritala@college.com              | Sem 5 Sec A
  015. Kondapalli Sneha                    | Roll: IT26015         | sneha.kondapalli@college.com             | Sem 5 Sec B
  016. Yelamanchili Sireesha               | Roll: IT26016         | sireesha.yelamanchili@college.com        | Sem 5 Sec A
  017. Gottipati Bhavana                   | Roll: IT26017         | bhavana.gottipati@college.com            | Sem 5 Sec B
  018. Vadlamudi Mounika                   | Roll: IT26018         | mounika.vadlamudi@college.com            | Sem 5 Sec A
  019. Kanneganti Pranitha                 | Roll: IT26019         | pranitha.kanneganti@college.com          | Sem 7 Sec B
  020. Kolli Ananya                        | Roll: IT26020         | ananya.kolli@college.com                 | Sem 7 Sec A
  021. Ravipati Tejaswi                    | Roll: IT26021         | tejaswi.ravipati@college.com             | Sem 7 Sec B
  022. Vemuri Bhavana                      | Roll: IT26022         | bhavana.vemuri@college.com               | Sem 7 Sec A
  023. Gudipati Sirisha                    | Roll: IT26023         | sirisha.gudipati@college.com             | Sem 7 Sec B
  024. Pasupuleti Yamini                   | Roll: IT26024         | yamini.pasupuleti@college.com            | Sem 7 Sec A

--- MECH (24 students) ---
  001. Gudipati Charan                     | Roll: MECH26001       | charan.gudipati@college.com              | Sem 1 Sec B
  002. Kanneganti Prathyush                | Roll: MECH26002       | prathyush.kanneganti@college.com         | Sem 1 Sec A
  003. Katta Nikhil                        | Roll: MECH26003       | nikhil.katta@college.com                 | Sem 1 Sec B
  004. Paritala Prasad                     | Roll: MECH26004       | prasad.paritala@college.com              | Sem 1 Sec A
  005. Yerra Satish                        | Roll: MECH26005       | satish.yerra@college.com                 | Sem 1 Sec B
  006. Vallabhaneni Sravan                 | Roll: MECH26006       | sravan.vallabhaneni@college.com          | Sem 1 Sec A
  007. Alapati Prathyush                   | Roll: MECH26007       | prathyush.alapati@college.com            | Sem 3 Sec B
  008. Gummadi Nikhil                      | Roll: MECH26008       | nikhil.gummadi@college.com               | Sem 3 Sec A
  009. Vadlamudi Prathyush                 | Roll: MECH26009       | prathyush.vadlamudi@college.com          | Sem 3 Sec B
  010. Jasti Karthik                       | Roll: MECH26010       | karthik.jasti@college.com                | Sem 3 Sec A
  011. Paritala Mohan                      | Roll: MECH26011       | mohan.paritala@college.com               | Sem 3 Sec B
  012. Gottipati Suresh                    | Roll: MECH26012       | suresh.gottipati@college.com             | Sem 3 Sec A
  013. Kamineni Tejaswi                    | Roll: MECH26013       | tejaswi.kamineni@college.com             | Sem 5 Sec B
  014. Nallamothu Sunitha                  | Roll: MECH26014       | sunitha.nallamothu@college.com           | Sem 5 Sec A
  015. Bandla Tejaswi                      | Roll: MECH26015       | tejaswi.bandla@college.com               | Sem 5 Sec B
  016. Chava Bhavana                       | Roll: MECH26016       | bhavana.chava@college.com                | Sem 5 Sec A
  017. Kondapalli Sirisha                  | Roll: MECH26017       | sirisha.kondapalli@college.com           | Sem 5 Sec B
  018. Challa Nandini                      | Roll: MECH26018       | nandini.challa718_1@college.com          | Sem 5 Sec A
  019. Kambhampati Swathi                  | Roll: MECH26019       | swathi.kambhampati719_1@college.com      | Sem 7 Sec B
  020. Nallamothu Yamini                   | Roll: MECH26020       | yamini.nallamothu@college.com            | Sem 7 Sec A
  021. Yerra Pranitha                      | Roll: MECH26021       | pranitha.yerra@college.com               | Sem 7 Sec B
  022. Kamineni Madhuri                    | Roll: MECH26022       | madhuri.kamineni@college.com             | Sem 7 Sec A
  023. Kambhampati Keerthi                 | Roll: MECH26023       | keerthi.kambhampati@college.com          | Sem 7 Sec B
  024. Koneru Madhuri                      | Roll: MECH26024       | madhuri.koneru@college.com               | Sem 7 Sec A

========================================

